gen_name,bus_id,bus_name,lat,lon,capacity_mw,bus_voltage_kv,source,state
generator-200841-7266848734,200841,26DEEPCRK2_200841,39.505187,-79.392991,1.2,11.5,EIA_MMWG_FUZZY,MD
generator-204713-2848621564,204713,27JOHNSCTRL_204713,39.683539,-76.739094,2,115.0,EIA_MMWG_FUZZY,MD
generator-213682-6043818753,213682,JENNERVL_213682,39.69196,-75.91848,1,35.0,EIA_MMWG_FUZZY,MD
generator-213682-8142031499,213682,JENNERVL_213682,39.70381,-75.94323,2,35.0,EIA_MMWG_FUZZY,MD
generator-220920-9024843738,220920,WAGNERG4_220920,39.13728,-76.498041,1,24.0,EIA_MMWG_FUZZY,MD
generator-220943-8733476860,220943,SNOW18TP_220943,39.175364,-76.837373,1.9,230.0,EIA_MMWG_FUZZY,MD
generator-220973-1523418930,220973,GRANITE6_220973,39.296749,-76.957413,1.2,230.0,EIA_MMWG_FUZZY,MD
generator-220973-7848036747,220973,GRANITE6_220973,39.34167,-76.8351,2,230.0,EIA_MMWG_FUZZY,MD
generator-220973-1037524271,220973,GRANITE6_220973,39.32015,-76.92965,1.9,230.0,EIA_MMWG_FUZZY,MD
generator-220973-6364385540,220973,GRANITE6_220973,39.32015,-76.92965,1.9,230.0,EIA_MMWG_FUZZY,MD
generator-220973-2751713346,220973,GRANITE6_220973,39.299137,-76.959953,2,230.0,EIA_MMWG_FUZZY,MD
generator-220973-6094259516,220973,GRANITE6_220973,39.300067,-76.957131,2,230.0,EIA_MMWG_FUZZY,MD
generator-220973-5463391985,220973,GRANITE6_220973,39.300615,-76.960961,2,230.0,EIA_MMWG_FUZZY,MD
generator-220973-9849694589,220973,GRANITE6_220973,39.30953,-76.979147,2,230.0,EIA_MMWG_FUZZY,MD
generator-220973-8941370979,220973,GRANITE6_220973,39.309529,-76.979146,2,230.0,EIA_MMWG_FUZZY,MD
generator-220973-3147059315,220973,GRANITE6_220973,39.31771,-76.984541,2,230.0,EIA_MMWG_FUZZY,MD
