gen_name,bus_id,bus_name,lat,lon,capacity_mw,bus_voltage_kv,source,state
generator-232404-2484907834,232404,W1-003 C_232404,37.943895,-75.569556,80,138.0,EI_EIA2PF,VA
generator-232406-9045605691,232406,W1-004 FULL_232406,37.95,-75.57,20.0,138.0,EI_MMWG,VA
generator-232408-1735169926,232408,W1-005 C_232408,37.95,-75.57,13.36,138.0,EI_MMWG,VA
generator-232410-5846699224,232410,W1-006 C_232410,37.95,-75.57,13.36,138.0,EI_MMWG,VA
generator-232642-7055135995,232642,CHNCOTG1_232642,37.938056,-75.473611,0.1,12.47,EIA_MMWG_FUZZY,VA
generator-232642-7857241864,232642,CHNCOTG1_232642,37.938056,-75.473611,0.1,12.47,EIA_MMWG_FUZZY,VA
generator-232642-6299848535,232642,CHNCOTG1_232642,37.938056,-75.473611,0.1,12.47,EIA_MMWG_FUZZY,VA
generator-232642-4292685491,232642,CHNCOTG1_232642,37.938056,-75.473611,4,12.47,EIA_MMWG_FUZZY,VA
generator-233901-6671771395,233901,CHERRYDALE C_233901,37.37,-75.917171,20,69.0,EI_EIA2PF,VA
generator-235444-4124698749,235444,01BART 1,39.088731,-78.239904,130,138.0,EIA_MMWG_FUZZY,VA
generator-235464-7727030697,235464,01DTGZ2-030_235464,39.06485,-78.138207,10,138.0,EI_EIA2PF,VA
generator-235483-6204087519,235483,01MDWBRK,39.073825,-78.280117,75,138.0,EIA_ONLY,VA
generator-235483-3703540341,235483,01MDWBRK,39.082879,-78.237118,90,138.0,EIA_MMWG_FUZZY,VA
generator-235502-9028981453,235502,01REDBUD,39.21157,-78.08417,30,138.0,EIA_MMWG_FUZZY,VA
generator-235515-5422448762,235515,01VISCOS_235515,38.929,-78.18,2.5,138.0,EIA_MMWG_FUZZY,VA
generator-235519-7354586723,235519,01W WINC_235519,39.201562,-78.213908,1.4,138.0,EIA_MMWG_FUZZY,VA
generator-237077-8183021276,237077,AC2-174 C_237077,39.06,-78.14,10.164987752083128,138.0,EI_MMWG,VA
generator-242544-9476028389,242544,05AXTON,36.671684,-79.686061,201.1,138.0,EIA_MMWG_FUZZY,VA
generator-242545-7735735196,242545,05AXTONX,36.667889,-79.755013,66,138.0,EIA_ONLY,VA
generator-242545-9549714878,242545,05AXTONX,36.687071,-79.709472,20,138.0,EIA_MMWG_FUZZY,VA
generator-242549-7914775301,242549,05BANSTR_242549,36.85345,-79.469908,2.2,138.0,EIA_MMWG_FUZZY,VA
generator-242591-6086308233,242591,05CENTERV_MR_242591,37.335046,-79.480995,3,138.0,EIA_MMWG_FUZZY,VA
generator-242675-1638619493,242675,05HUFFMN,36.790623,-80.727655,150,138.0,EIA_MMWG_FUZZY,VA
generator-242721-7024489727,242721,05MORGAN,37.139595,-80.687405,150,138.0,EIA_MMWG_FUZZY,VA
generator-242736-4387973462,242736,05OAKLEV_242736,36.782222,-79.947778,5,138.0,EIA_MMWG_FUZZY,VA
generator-242772-9802627477,242772,05RIVERV_242772,37.553598,-79.017296,4.9,138.0,EIA_MMWG_FUZZY,VA
generator-242781-3106940979,242781,05RUSTBR_242781,37.276278,-79.116506,15,138.0,EIA_MMWG_FUZZY,VA
generator-242792-3513900139,242792,05SCOTSV,37.762155,-78.47912,50,138.0,EIA_MMWG_FUZZY,VA
generator-242797-5482553265,242797,05SHEFLD,36.608705,-79.879881,20,138.0,EIA_MMWG_FUZZY,VA
generator-242858-1236097991,242858,05WYTHE1,36.964279,-81.049858,20,138.0,EIA_MMWG_FUZZY,VA
generator-242858-2051130380,242858,05WYTHE1,37.030648,-81.003022,150,138.0,EIA_MMWG_FUZZY,VA
generator-243925-5243071425,243925,05PINEY RI,37.696818,-79.023062,50,46.0,EIA_MMWG_FUZZY,VA
generator-243995-9610668586,243995,05SOUTHSID,36.660591,-79.29906,6,69.0,EIA_MMWG_EXACT,VA
generator-244012-4979247121,244012,05PINNACLE_244012,36.727159,-79.506486,5,4.0,EIA_MMWG_FUZZY,VA
generator-244012-8961193344,244012,05PINNACLE_244012,36.727159,-79.506486,5,4.0,EIA_MMWG_FUZZY,VA
generator-244013-2179230905,244013,05AIRSIDTP_244013,36.591,-79.302,12,69.0,EIA_MMWG_FUZZY,VA
generator-244166-5983595651,244166,05GALAX1,36.709453,-80.885078,20,69.0,EIA_MMWG_FUZZY,VA
generator-247996-6688972560,247996,05RICH ACRSS_247996,36.616243,-79.849361,18.8,69.0,EIA_MMWG_FUZZY,VA
generator-270173-2125316693,270173,AC1-122 GEN_270173,37.148199,-79.347497,80,0.6,EI_EIA2PF,VA
generator-270214-4848829281,270214,AC2-123 GEN_270214,36.876,-80.837,75,138.0,EI_EIA2PF,VA
generator-313212-3933790559,313212,3MT JACKSON,38.739621,-78.660158,15.7,115.0,EIA_ONLY,VA
generator-313212-3421537546,313212,3MT JACKSON_313212,38.745097,-78.67523,3.2,115.0,EIA_MMWG_FUZZY,VA
generator-313506-9144446397,313506,AB1-173 C OP_313506,36.59,-77.65,59.6,115.0,EI_EIA2PF,VA
generator-313527-9431481503,313527,AB2-043 GEN_313527,36.811533,-78.483909,49.9,34.5,EI_EIA2PF,VA
generator-313812-2630120592,313812,6ROCKLANDING_313812,37.09,-76.46,0.99,230.0,EI_MMWG,VA
generator-313817-7551415011,313817,6CLOVER_1,36.875897,-78.741874,83,230.0,EIA_ONLY,VA
generator-313821-2185295247,313821,6PACIFIC_313821,39.0,-77.44,0.833,230.0,EI_MMWG,VA
generator-313826-4777011854,313826,6HYDRAULIC_313826,38.06,-78.49,0.14,230.0,EI_MMWG,VA
generator-313826-4806696713,313826,6HYDRAULIC_313826,38.06,-78.49,0.224,230.0,EI_MMWG,VA
generator-313828-8373286531,313828,3WHITEMARSH,37.36,-76.53,20,115.0,EIA_MMWG_FUZZY,VA
generator-313852-7442613452,313852,3WELCOTAP_313852,36.679324,-78.939161,3.1,115.0,EIA_MMWG_FUZZY,VA
generator-313863-1067032055,313863,6YARDLEY,38.95,-77.5,50,230.0,EIA_ONLY,VA
generator-313870-6488873791,313870,3RAPPAHNCK_313870,37.657039,-76.383228,1.5,115.0,EIA_MMWG_FUZZY,VA
generator-313870-3645143755,313870,3RAPPAHNCK_313870,37.6529,-76.3888,5,115.0,EIA_MMWG_FUZZY,VA
generator-313870-2212167976,313870,3RAPPAHNCK_313870,37.67491,-76.41144,3,115.0,EIA_MMWG_FUZZY,VA
generator-313871-6641145193,313871,3COBBS CREEK_313871,37.88051,-78.049191,5,115.0,EIA_MMWG_FUZZY,VA
generator-314078-5493517384,314078,3REMNGTN_314078,38.54,-77.78,20.0,115.0,EI_MMWG,VA
generator-314078-9162454499,314078,3REMNGTN,38.548333,-77.776389,20,115.0,EIA_MMWG_FUZZY,VA
generator-314115-7701748767,314115,3GAINSV1_314115,38.786044,-77.554755,2,115.0,EIA_MMWG_FUZZY,VA
generator-314119-5941460226,314119,6NOKESVL,38.672,-77.593,20,230.0,EIA_ONLY,VA
generator-314134-4367270662,314134,6CRANES_314134,38.350511,-77.476191,5,230.0,EIA_MMWG_FUZZY,VA
generator-314140-2708653017,314140,6GARSVL_314140,38.467778,-77.455278,1.3,230.0,EIA_MMWG_FUZZY,VA
generator-314142-9257725463,314142,6STAFORD_314142,38.5,-77.4,1.1,230.0,EI_MMWG,VA
generator-314172-7169370733,314172,6DUNNSVL_314172,37.85,-76.81,20.0,230.0,EI_MMWG,VA
generator-314172-7047014200,314172,6DUNNSVL,37.834094,-76.799967,20,230.0,EIA_MMWG_FUZZY,VA
generator-314173-5448248802,314173,3GARNER,37.86,-76.56,127,115.0,EIA_ONLY,VA
generator-314173-7560527697,314173,3GARNER,37.89,-76.54,60,115.0,EIA_MMWG_FUZZY,VA
generator-314173-6262340643,314173,3GARNER,37.867194,-76.589869,62,115.0,EIA_MMWG_FUZZY,VA
generator-314176-9524721531,314176,6HARMONY_314176,37.58,-76.49,15.0,230.0,EI_MMWG,VA
generator-314176-2794389526,314176,6HARMONY,37.56189,-76.605373,99,230.0,EIA_ONLY,VA
generator-314183-4140957194,314183,6SANDERS_314183,37.957975,-76.818828,5,230.0,EIA_MMWG_FUZZY,VA
generator-314187-9681257679,314187,3WAN 176_314187,37.46,-76.54,20.0,115.0,EI_MMWG,VA
generator-314187-6830697841,314187,3WAN 176,37.45,-76.45,19.9,115.0,EIA_MMWG_EXACT,VA
generator-314190-645395567,314190,6WESTMOR_314190,38.08,-76.84,20.0,230.0,EI_MMWG,VA
generator-314213-7922102624,314213,3CARVER_314213,37.56,-77.45,0.05,115.0,EI_MMWG,VA
generator-314222-1417595805,314222,6HANOVER_314222,37.82,-77.45,0.05,230.0,EI_MMWG,VA
generator-314232-9518079036,314232,6NO ANNA_314232,38.017664,-77.952873,11.5,230.0,EIA_MMWG_FUZZY,VA
generator-314232-6168911367,314232,6NO ANNA_314232,37.919497,-77.862016,18.6,230.0,EIA_MMWG_FUZZY,VA
generator-314232-1332080403,314232,6NO ANNA,38.013053,-77.931171,118,230.0,EIA_MMWG_FUZZY,VA
generator-314241-3464929263,314241,6OLDCHRC_314241,37.63,-77.25,17.0,230.0,EI_MMWG,VA
generator-314241-8086283698,314241,6OLDCHRC_314241,37.63,-77.25,5.0,230.0,EI_MMWG,VA
generator-314241-6254674944,314241,6OLDCHRC_314241,37.63,-77.25,20.0,230.0,EI_MMWG,VA
generator-314241-2718898628,314241,6OLDCHRC_314241,37.63,-77.25,17.376375024728258,230.0,EI_MMWG,VA
generator-314241-8159922527,314241,6OLDCHRC,37.671,-77.17,13,230.0,EIA_ONLY,VA
generator-314241-7142793960,314241,6OLDCHRC,37.672005,-77.170439,17,230.0,EIA_MMWG_EXACT,VA
generator-314250-3830670395,314250,6ROCKVILLE,37.961,-77.792,25,230.0,EIA_MMWG_FUZZY,VA
generator-314257-7382422700,314257,6WHITOAK,37.46,-77.27,20,230.0,EIA_MMWG_FUZZY,VA
generator-314268-5424226706,314268,6BRIERY,37.104491,-78.402853,150,230.0,EIA_MMWG_FUZZY,VA
generator-314272-1990758350,314272,6ALPINE_314272,37.341838,-77.287027,2,230.0,EIA_MMWG_FUZZY,VA
generator-314282-1856957706,314282,6CARSON_314282,37.09028,-77.48346,5,230.0,EIA_MMWG_FUZZY,VA
generator-314282-2330240004,314282,6CARSON,37.072709,-77.420729,80,230.0,EIA_MMWG_FUZZY,VA
generator-314294-4329886960,314294,6ENON_314294,37.34,-77.3,0.5,230.0,EI_MMWG,VA
generator-314294-3863946997,314294,6ENON_314294,37.34,-77.3,1.67,230.0,EI_MMWG,VA
generator-314302-2744018903,314302,3HARVELL,37.25,-77.25,20,115.0,EIA_MMWG_FUZZY,VA
generator-314310-7098849168,314310,6JUDES F_314310,37.45383,-77.95682,5,230.0,EIA_MMWG_FUZZY,VA
generator-314310-6144277397,314310,6JUDES F_314310,37.481141,-77.967885,5,230.0,EIA_MMWG_FUZZY,VA
generator-314312-4710026170,314312,3JARRATT,36.835397,-77.528439,82.5,115.0,EIA_MMWG_FUZZY,VA
generator-314321-2123127613,314321,3LITLECREEK_314321,36.875877,-76.200935,0.9,115.0,EIA_MMWG_FUZZY,VA
generator-314322-2967279893,314322,6MDLTHAN,37.52885,-77.95977,5,230.0,EIA_ONLY,VA
generator-314322-7239630853,314322,6MDLTHAN,37.535275,-77.823964,20,230.0,EIA_MMWG_FUZZY,VA
generator-314331-3565183524,314331,6POE_314331,37.177825,-77.337645,19.7,230.0,EI_EIA2PF,VA
generator-314333-3149645611,314333,6POWHATN_314333,37.526244,-77.944637,20,230.0,EI_EIA2PF,VA
generator-314333-2760383793,314333,6POWHATN_314333,37.526244,-77.944637,20,230.0,EI_EIA2PF,VA
generator-314375-7037444848,314375,6CORRCTN_314375,37.43,-77.05,20.0,230.0,EI_MMWG,VA
generator-314375-4304777997,314375,6CORRCTN,37.471464,-76.844612,20,230.0,EIA_MMWG_FUZZY,VA
generator-314426-2782886050,314426,3FT PKET,37.0,-78.0,600,115.0,EIA_MMWG_FUZZY,VA
generator-314435-5768335030,314435,6SAPONY_314435,36.94,-77.48,20.0,230.0,EI_MMWG,VA
generator-314435-8930470287,314435,6SAPONY,36.940529,-77.41776,20,230.0,EIA_MMWG_FUZZY,VA
generator-314453-9551185869,314453,6CHRHLND_314453,36.87,-76.38,0.75,230.0,EI_MMWG,VA
generator-314476-5318761862,314476,3HICKORY,36.624113,-76.194266,20,115.0,EIA_MMWG_FUZZY,VA
generator-314477-2050921283,314477,3HODGE F,36.848105,-76.407143,1,115.0,EIA_MMWG_FUZZY,VA
generator-314487-9261662455,314487,3MCLAUGH_314487,36.87,-76.3,0.125,115.0,EI_MMWG,VA
generator-314491-6971924951,314491,3PENDLTN_314491,36.79,-76.0,17.6,115.0,EI_MMWG,VA
generator-314525-8362120267,314525,6KINGFORK_314525,36.8,-76.6,15.0,230.0,EI_MMWG,VA
generator-314527-5183636527,314527,3HOLLAND_314527,36.68565,-76.763,3.8,115.0,EIA_MMWG_FUZZY,VA
generator-314533-874024048,314533,6SMITFLD_314533,36.89,-76.611,19,230.0,EI_EIA2PF,VA
generator-314533-1658538225,314533,6SMITFLD_314533,36.884447,-76.691208,2,230.0,EIA_MMWG_FUZZY,VA
generator-314538-8242480647,314538,6SURRY,37.16738,-76.924229,150,230.0,EIA_MMWG_FUZZY,VA
generator-314539-3796697342,314539,3UNCAMP,36.673032,-76.882005,50.2,115.0,EIA_MMWG_FUZZY,VA
generator-314550-5005810233,314550,6HICKORY_314550,36.624113,-76.194266,12,230.0,EI_EIA2PF,VA
