gen_name,bus_id,bus_name,lat,lon,capacity_mw,bus_voltage_kv,source,state
generator-235054-765501355,235054,AD2-180 GEN_235054,39.366803,-79.108263,115,0.72,EI_EIA2PF,WV
generator-235625-7402673562,235625,01BACKB_235625,39.1828,-79.5372,66,138.0,EI_EIA2PF,WV
generator-235780-4927656755,235780,01BEECHRIDGE_235780,38.0878,-80.4925,100.5,138.0,EI_EIA2PF,WV
generator-235838-4069150349,235838,01GRNGAP_235838,39.2175,-79.2094,164,500.0,EI_EIA2PF,WV
generator-235838-4069150349,235838,01GRNGAP_235838,39.2175,-79.2094,100,500.0,EI_EIA2PF,WV
generator-237033-2419920792,237033,AB1-150_237033,38.112222,-80.613055,56.2,0.69,EI_EIA2PF,WV
generator-237507-3222386532,237507,01CROSSCHOOL,39.445,-79.03,53.7,138.0,EIA_ONLY,WV
generator-237511-7638568467,237511,01LEADS_P59_237511,39.0072,-79.8866,97.6,138.0,EI_EIA2PF,WV
generator-314941-9831661799,314941,8BISMARK,39.200639,-79.140639,103,500.0,EIA_ONLY,WV
generator-314941-5301310574,314941,8BISMARK,39.200639,-79.140639,103,500.0,EIA_ONLY,WV
generator-315604-7984583756,315604,1NEW CREEK_315604,39.2,-79.22,102.50487793271108,34.5,EI_MMWG,WV
